t	w	a
0.082500	0.411907	0.237719
0.082600	0.411792	0.237760
0.082700	0.411676	0.237801
0.082800	0.411560	0.237842
0.082900	0.411445	0.237883
0.083000	0.411329	0.237924
0.083100	0.411214	0.237966
0.083200	0.411098	0.238007
0.083300	0.410982	0.238048
0.083400	0.410867	0.238089
0.083500	0.410751	0.238130
0.083600	0.410635	0.238171
0.083700	0.410520	0.238212
0.083800	0.410404	0.238253
0.083900	0.410288	0.238294
0.084000	0.410172	0.238335
0.084100	0.410056	0.238376
0.084200	0.409941	0.238417
0.084300	0.409825	0.238458
0.084400	0.409709	0.238499
0.084500	0.409593	0.238540
0.084600	0.409477	0.238581
0.084700	0.409361	0.238622
0.084800	0.409245	0.238663
0.084900	0.409129	0.238704
0.085000	0.409013	0.238745
0.085100	0.408897	0.238786
0.085200	0.408781	0.238827
0.085300	0.408665	0.238867
0.085400	0.408549	0.238908
0.085500	0.408433	0.238949
0.085600	0.408317	0.238990
0.085700	0.408201	0.239031
0.085800	0.408085	0.239072
0.085900	0.407969	0.239112
0.086000	0.407852	0.239153
0.086100	0.407736	0.239194
0.086200	0.407620	0.239235
0.086300	0.407504	0.239276
0.086400	0.407387	0.239316
0.086500	0.407271	0.239357
0.086600	0.407155	0.239398
0.086700	0.407039	0.239438
0.086800	0.406922	0.239479
0.086900	0.406806	0.239520
0.087000	0.406689	0.239560
0.087100	0.406573	0.239601
0.087200	0.406457	0.239642
0.087300	0.406340	0.239682
0.087400	0.406224	0.239723
0.087500	0.406107	0.239764
0.087600	0.405991	0.239804
0.087700	0.405874	0.239845
0.087800	0.405758	0.239885
0.087900	0.405641	0.239926
0.088000	0.405525	0.239967
0.088100	0.405408	0.240007
0.088200	0.405291	0.240048
0.088300	0.405175	0.240088
0.088400	0.405058	0.240129
0.088500	0.404942	0.240169
0.088600	0.404825	0.240210
0.088700	0.404708	0.240250
0.088800	0.404591	0.240291
0.088900	0.404475	0.240331
0.089000	0.404358	0.240372
0.089100	0.404241	0.240412
0.089200	0.404124	0.240452
0.089300	0.404008	0.240493
0.089400	0.403891	0.240533
0.089500	0.403774	0.240574
0.089600	0.403657	0.240614
0.089700	0.403540	0.240654
0.089800	0.403423	0.240695
0.089900	0.403306	0.240735
0.090000	0.403189	0.240775
0.090100	0.403072	0.240816
0.090200	0.402955	0.240856
